field_id,lat,lon,year,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M
391623002240612,41.6658,-83.3825,2020,2020-01-01,-0.68,3.25,-4.01,0.76,8.59,78.19
391623002240612,41.6658,-83.3825,2020,2020-01-02,3.34,5.78,0.15,2.66,6.94,89.46
391623002240612,41.6658,-83.3825,2020,2020-01-03,4.69,6.18,2.29,6.06,2.7,95.94
391623002240612,41.6658,-83.3825,2020,2020-01-04,0.58,3.09,-2.43,3.13,2.42,88.13
391623002240612,41.6658,-83.3825,2020,2020-01-05,0.26,2.99,-3.27,0.16,4.93,81.29
391623002240612,41.6658,-83.3825,2020,2020-01-06,0.79,4.96,-2.66,0.01,9.32,78.43
391623002240612,41.6658,-83.3825,2020,2020-01-07,0.68,5.2,-1.99,0.7,7.54,76.26
391623002240612,41.6658,-83.3825,2020,2020-01-08,-3.61,-0.12,-5.81,0.28,6.91,72.16
391623002240612,41.6658,-83.3825,2020,2020-01-09,0.94,6.08,-4.99,0.58,5.69,74.79
391623002240612,41.6658,-83.3825,2020,2020-01-10,7.21,10.46,4.88,16.08,2.88,98.18
391623002240612,41.6658,-83.3825,2020,2020-01-11,10.31,13.92,4.45,22.61,1.4,95.68
391623002240612,41.6658,-83.3825,2020,2020-01-12,-1.58,1.69,-4.93,0.69,5.99,76.32
391623002240612,41.6658,-83.3825,2020,2020-01-13,1.05,4.16,-1.55,1.58,3.34,86.64
391623002240612,41.6658,-83.3825,2020,2020-01-14,1.85,5.8,-1.67,0.54,5.21,93.21
391623002240612,41.6658,-83.3825,2020,2020-01-15,2.88,7.93,-1.11,0.86,4.38,90.45
391623002240612,41.6658,-83.3825,2020,2020-01-16,-1.26,1.48,-5.13,0.27,3.77,75.66
391623002240612,41.6658,-83.3825,2020,2020-01-17,-3.59,-1.8,-6.01,2.91,6.04,74.3
391623002240612,41.6658,-83.3825,2020,2020-01-18,-0.25,3.66,-6.16,18.22,1.75,89.26
391623002240612,41.6658,-83.3825,2020,2020-01-19,-8.41,-6.81,-10.27,0.38,5.11,87.73
391623002240612,41.6658,-83.3825,2020,2020-01-20,-7.87,-3.76,-10.64,0.02,7.63,84.38
391623002240612,41.6658,-83.3825,2020,2020-01-21,-6.23,-2.29,-8.41,1.17,7.8,81.41
391623002240612,41.6658,-83.3825,2020,2020-01-22,-4.69,-0.28,-10.38,0.07,7.08,84.24
