field_id,lat,lon,om_pct,ph,cec
391623000245685,41.4648,-83.51070000000003,3.33,6.5,18.07
391623000245868,41.45059999999999,-83.49929999999995,3.27,5.5,22.849999999999998
391623001193287,41.37529999999997,-82.57849999999998,2.54,6.4,14.475
391623001532050,41.2674,-84.14669999999998,2.22,6.3,13.3
391623001532073,41.26489999999997,-84.15729999999998,2.82,5.8,19.03
391623002233624,41.2225,-84.16699999999997,1.54,6.7,18.585
391623002240612,41.66579999999998,-83.3825,2.18,6.6,12.57
391623002242386,41.56859999999999,-83.20119999999996,3.53,7.1,16.675
391623002243787,41.51170000000002,-83.17340000000003,1.71,6.1,12.015
391623003947118,41.33049999999999,-83.24609999999993,2.93,5.7,16.96
391623003947189,41.3272,-83.23030000000001,1.59,6.9,18.43
391623004117828,41.69459999999999,-83.97349999999999,1.65,7.0,11.934999999999999
391623004118842,41.63639999999999,-84.00319999999992,3.17,6.6,17.285
391623004119707,41.57530000000001,-84.03330000000003,2.74,6.8,20.39
391623004291427,41.39589999999999,-83.66260000000003,1.53,6.6,10.91
391623004303760,41.4827,-83.17859999999997,3.49,5.9,17.155
391623004305230,41.411300000000026,-82.75850000000003,3.31,7.0,23.53
391623004305517,41.40269999999999,-82.77639999999998,3.96,6.0,20.915
391623004307136,41.3517,-82.98219999999995,1.67,6.4,19.07
391623004307950,41.3157,-82.88910000000001,2.49,6.4,15.870000000000001
