field_id,lat,lon,clay_pct,sand_pct,silt_pct,om_pct,ph,awc,kSat,dbthirdbar,k_factor,k_factor_risk,low_infiltration_risk,low_om_risk,erosion_risk_score
391623004291427,41.39589999999999,-83.66260000000003,15.7,33.09,51.21,1.53,6.6,0.181,30.3,1.66,0.09275793513938489,91.7891811344108,50.57142857142857,100.0,81.88710102519289
391623002243787,41.51170000000002,-83.17340000000003,17.19,35.56,47.24,1.71,6.1,0.189,20.9,1.63,0.09152390589334143,73.90737388552762,77.42857142857143,92.5925925925926,80.56929876056026
391623002233624,41.2225,-84.16699999999997,31.01,39.25,29.73,1.54,6.7,0.194,14.9,1.5,0.09003539549495225,52.33798554461612,94.57142857142857,99.58847736625515,79.18316599915156
391623001193287,41.37529999999997,-82.57849999999998,18.79,35.39,45.82,2.54,6.4,0.193,21.6,1.54,0.09140658056463391,72.20726108829342,75.42857142857142,58.43621399176955,69.04234006141965
391623004117828,41.69459999999999,-83.97349999999999,17.27,40.16,42.57,1.65,7.0,0.212,23.2,1.33,0.08967650704495495,47.13748149880176,70.85714285714286,95.06172839506173,68.63065397518208
391623001532050,41.2674,-84.14669999999998,17.72,38.81,43.46,2.22,6.3,0.229,18.0,1.51,0.0900474774421479,52.5130600427583,85.71428571428572,71.60493827160492,68.20099121287052
391623003947189,41.3272,-83.23030000000001,30.5,35.92,33.58,1.59,6.9,0.221,39.2,1.61,0.09138457076136884,71.88832613530614,25.14285714285713,97.53086419753086,65.55744685623885
391623003947118,41.33049999999999,-83.24609999999993,22.2,38.38,39.42,2.93,5.7,0.23,13.0,1.69,0.09004822364864433,52.523873012369634,100.0,42.38683127572015,63.7255985876639
391623004307136,41.3517,-82.98219999999995,31.46,55.74,12.79,1.67,6.4,0.192,18.9,1.35,0.08689559509720139,6.840437011985786,83.14285714285714,94.23868312757202,55.95063688592306
391623001532073,41.26489999999997,-84.15729999999998,26.78,31.45,41.78,2.82,5.8,0.157,48.0,1.69,0.09332456637934165,100.0,0.0,46.913580246913575,54.074074074074076
391623004118842,41.63639999999999,-84.00319999999992,21.89,39.25,38.86,3.17,6.6,0.239,28.9,1.35,0.08966265499694452,46.93675720209741,54.571428571428584,32.51028806584362,44.89921787202063
391623004303760,41.4827,-83.17859999999997,20.35,42.04,37.61,3.49,5.9,0.158,21.6,1.36,0.08864253728808176,32.15465353677328,75.42857142857142,19.34156378600821,41.2929019790832
391623004307950,41.3157,-82.88910000000001,21.78,58.26,19.95,2.49,6.4,0.22,24.5,1.69,0.08679588471706193,5.395575146609886,67.14285714285715,60.49382716049381,40.44923534964924
391623002240612,41.66579999999998,-83.3825,16.42,56.73,26.85,2.18,6.6,0.181,30.8,1.52,0.08679054006419427,5.318127993150608,49.142857142857146,73.25102880658436,38.845416982092694
391623000245685,41.4648,-83.51070000000003,22.82,58.27,18.91,3.33,6.5,0.166,16.2,1.32,0.08660687649303443,2.6567351706938123,90.85714285714286,25.92592592592592,36.09761470319816
391623004305230,41.411300000000026,-82.75850000000003,33.82,54.08,12.11,3.31,7.0,0.23,17.5,1.66,0.08655932452395015,1.9676792603933175,87.14285714285714,26.748971193415628,34.954620205039156
391623004119707,41.57530000000001,-84.03330000000003,29.82,52.41,17.77,2.74,6.8,0.199,30.9,1.47,0.08678835951333093,5.28653053275026,48.85714285714287,50.20576131687242,31.83348346530469
391623004305517,41.40269999999999,-82.77639999999998,25.99,54.07,19.94,3.96,6.0,0.161,19.1,1.47,0.08642353434791467,0.0,82.57142857142856,0.0,24.771428571428565
391623002242386,41.56859999999999,-83.20119999999996,19.23,58.68,22.08,3.53,7.1,0.239,33.9,1.67,0.08659755349703956,2.5216394929398263,40.28571428571429,17.695473251028805,18.403012058198858
391623000245868,41.45059999999999,-83.49929999999995,32.62,47.81,19.57,3.27,5.5,0.247,43.3,1.38,0.08727395846270035,12.323144000968123,13.428571428571434,28.395061728395056,17.476347547477197
