field_id,lat,lon,om_pct,ph,cec,om_score,ph_score,cec_score,soil_health_score
391623004305517,41.40269999999999,-82.77639999999998,3.96,6.0,20.915,100.0,90.0,79.27892234548335,90.783676703645
391623004305230,41.411300000000026,-82.75850000000003,3.31,7.0,23.53,73.25102880658437,90.0,100.0,86.30041152263375
391623000245868,41.45059999999999,-83.49929999999995,3.27,5.5,22.849999999999998,71.60493827160495,80.0,94.61172741679871,81.0254935336816
391623000245685,41.4648,-83.51070000000003,3.33,6.5,18.07,74.07407407407408,100.0,56.735340729001585,76.65023184833011
391623004303760,41.4827,-83.17859999999997,3.49,5.9,17.155,80.65843621399179,88.0,49.484944532488115,73.50885784534316
391623002242386,41.56859999999999,-83.20119999999996,3.53,7.1,16.675,82.3045267489712,88.0,45.681458003169574,73.02624810053935
391623004118842,41.63639999999999,-84.00319999999992,3.17,6.6,17.285,67.48971193415639,98.0,50.515055467511885,71.55040141391612
391623004119707,41.57530000000001,-84.03330000000003,2.74,6.8,20.39,49.79423868312758,94.0,75.1188589540412,70.65335315946339
391623001532073,41.26489999999997,-84.15729999999998,2.82,5.8,19.03,53.086419753086425,86.0,64.34231378763867,66.33726203752617
391623003947118,41.33049999999999,-83.24609999999993,2.93,5.7,16.96,57.61316872427985,84.0,47.93977812995246,62.627200928697675
391623004307950,41.3157,-82.88910000000001,2.49,6.4,15.870000000000001,39.506172839506185,98.0,39.302694136291606,56.99327737668995
391623001193287,41.37529999999997,-82.57849999999998,2.54,6.4,14.475,41.56378600823046,98.0,28.248811410459584,54.500157826430055
391623004307136,41.3517,-82.98219999999995,1.67,6.4,19.07,5.76131687242798,98.0,64.65927099841521,51.10230804849576
391623002233624,41.2225,-84.16699999999997,1.54,6.7,18.585,0.41152263374485637,96.0,60.81616481774961,47.209458498822826
391623003947189,41.3272,-83.23030000000001,1.59,6.9,18.43,2.4691358024691383,92.0,59.58795562599049,46.464041008784804
391623001532050,41.2674,-84.14669999999998,2.22,6.3,13.3,28.39506172839507,96.0,18.938193343898575,45.8394826945276
391623002240612,41.66579999999998,-83.3825,2.18,6.6,12.57,26.748971193415645,98.0,13.153724247226625,44.04570575153424
391623002243787,41.51170000000002,-83.17340000000003,1.71,6.1,12.015,7.407407407407406,92.0,8.755942947702062,33.18974584727358
391623004117828,41.69459999999999,-83.97349999999999,1.65,7.0,11.934999999999999,4.938271604938267,90.0,8.122028526148958,31.411917199819992
391623004291427,41.39589999999999,-83.66260000000003,1.53,6.6,10.91,0.0,98.0,0.0,29.4
