field_id,crop,field_size_acres,soil_name,soil_component,drainage_class,organic_matter,ph,clay_pct,sand_pct,silt_pct,year,temp_avg,temp_max_avg,temp_min_avg,precip_total,solar_radiation,humidity
391623002240612,Corn,16.609715147541003,"Fulton silty clay loam, 0 to 2 percent slopes",Fulton,Somewhat poorly drained,2.5,6.5,33.5,17.5,49.0,2020,11.175300546448087,15.500928961748635,6.920300546448087,808.99,13.882349726775955,76.43852459016394
391623002240612,Corn,16.609715147541003,"Fulton silty clay loam, 0 to 2 percent slopes",Fulton,Somewhat poorly drained,2.5,6.5,33.5,17.5,49.0,2021,11.534219178082191,15.820301369863014,7.3563835616438356,930.67,14.130575342465754,76.36202739726028
391623002240612,Corn,16.609715147541003,"Fulton silty clay loam, 0 to 2 percent slopes",Fulton,Somewhat poorly drained,2.5,6.5,33.5,17.5,49.0,2022,10.680164383561644,15.243561643835616,6.254849315068493,730.21,14.310657534246577,74.6085205479452
391623002240612,Corn,16.609715147541003,"Fulton silty clay loam, 0 to 2 percent slopes",Fulton,Somewhat poorly drained,2.5,6.5,33.5,17.5,49.0,2023,11.479808219178082,16.051260273972602,7.1888493150684925,818.04,13.948602739726027,74.23868493150685
391623003947118,Winter Wheat,11.12355411211923,"Hoytville silty clay loam, 0 to 1 percent slopes",Hoytville,Very poorly drained,4.5,6.7,39.0,19.0,42.0,2020,11.175300546448087,15.500928961748635,6.920300546448087,808.99,13.882349726775955,76.43852459016394
391623003947118,Winter Wheat,11.12355411211923,"Hoytville silty clay loam, 0 to 1 percent slopes",Hoytville,Very poorly drained,4.5,6.7,39.0,19.0,42.0,2021,11.534219178082191,15.820301369863014,7.3563835616438356,930.67,14.130575342465754,76.36202739726028
391623003947118,Winter Wheat,11.12355411211923,"Hoytville silty clay loam, 0 to 1 percent slopes",Hoytville,Very poorly drained,4.5,6.7,39.0,19.0,42.0,2022,10.680164383561644,15.243561643835616,6.254849315068493,730.21,14.310657534246577,74.6085205479452
391623003947118,Winter Wheat,11.12355411211923,"Hoytville silty clay loam, 0 to 1 percent slopes",Hoytville,Very poorly drained,4.5,6.7,39.0,19.0,42.0,2023,11.479808219178082,16.051260273972602,7.1888493150684925,818.04,13.948602739726027,74.23868493150685
391623004118842,Soybeans,15.768338572970768,"Colonie fine sand, 1 to 6 percent slopes",Colonie,Well drained,1.25,5.9,5.0,93.0,2.0,2020,10.986174863387978,16.38207650273224,5.748852459016393,762.89,13.963633879781419,75.51426229508198
391623004118842,Soybeans,15.768338572970768,"Colonie fine sand, 1 to 6 percent slopes",Colonie,Well drained,1.25,5.9,5.0,93.0,2.0,2021,11.211917808219178,16.58509589041096,6.056684931506849,975.28,14.242356164383562,76.2242191780822
