field_id_left,lat_left,lon_left,mean_ndvi,std_ndvi,min_ndvi,max_ndvi,median_ndvi,field_id_right,lat_right,lon_right,clay_pct,sand_pct,silt_pct,om_pct,ph,awc,kSat,dbthirdbar,distance
391623000245685,41.4648,-83.5107,0.6899654990748355,0.294928790555125,0.18634964525699615,1.0874840021133423,0.7390616536140442,391623000245685,41.4648,-83.51070000000003,22.82,58.27,18.91,3.33,6.5,0.166,16.2,1.32,0.0
391623000245868,41.4506,-83.4993,0.6892064412434896,0.2980068485581698,0.2556836009025574,1.1183338165283203,0.6892474889755249,391623000245868,41.45059999999999,-83.49929999999995,32.62,47.81,19.57,3.27,5.5,0.247,43.3,1.38,0.0
391623001193287,41.3753,-82.5785,0.5168499695627313,0.23491445488650828,0.12051025032997131,0.9725748896598816,0.4569295048713684,391623001193287,41.37529999999997,-82.57849999999998,18.79,35.39,45.82,2.54,6.4,0.193,21.6,1.54,0.0
391623001532050,41.2674,-84.1467,0.4961174412777549,0.25910906505430076,0.13486292958259583,0.9098930954933167,0.4606121778488159,391623001532050,41.2674,-84.14669999999998,17.72,38.81,43.46,2.22,6.3,0.229,18.0,1.51,0.0
391623001532073,41.2649,-84.1573,0.5864251789293791,0.25975513489138874,0.014167535118758678,0.9264203310012817,0.6628398299217224,391623001532073,41.26489999999997,-84.15729999999998,26.78,31.45,41.78,2.82,5.8,0.157,48.0,1.69,0.0
391623002233624,41.2225,-84.167,0.4247024276039817,0.25268477426165326,-0.03127170726656914,0.905364453792572,0.42046403884887695,391623002233624,41.2225,-84.16699999999997,31.01,39.25,29.73,1.54,6.7,0.194,14.9,1.5,0.0
391623002240612,41.6658,-83.3825,0.41453960963657926,0.3225850839680746,0.07492177188396454,1.008766531944275,0.24732285737991333,391623002240612,41.66579999999998,-83.3825,16.42,56.73,26.85,2.18,6.6,0.181,30.8,1.52,0.0
391623002242386,41.5686,-83.2012,0.5771785736083984,0.240010039846241,0.2298079878091812,1.0130683183670044,0.5422128438949585,391623002242386,41.56859999999999,-83.20119999999996,19.23,58.68,22.08,3.53,7.1,0.239,33.9,1.67,0.0
391623002243787,41.5117,-83.1734,0.638661735936215,0.27298049148937703,0.13423043489456177,1.082175850868225,0.6586320400238037,391623002243787,41.51170000000002,-83.17340000000003,17.19,35.56,47.24,1.71,6.1,0.189,20.9,1.63,0.0
391623003947118,41.3305,-83.2461,0.7087137558880974,0.26779675917017737,0.21373063325881958,1.1345689296722412,0.6594225168228149,391623003947118,41.33049999999999,-83.24609999999993,22.2,38.38,39.42,2.93,5.7,0.23,13.0,1.69,0.0
391623003947189,41.3272,-83.2303,0.6541465123494467,0.29815319738620655,0.22606857120990753,1.1721936464309692,0.6129660606384277,391623003947189,41.3272,-83.23030000000001,30.5,35.92,33.58,1.59,6.9,0.221,39.2,1.61,0.0
391623004117828,41.6946,-83.9735,0.45585682517603826,0.27344779208540426,0.06349539011716843,0.9591348171234131,0.38168853521347046,391623004117828,41.69459999999999,-83.97349999999999,17.27,40.16,42.57,1.65,7.0,0.212,23.2,1.33,0.0
391623004118842,41.6364,-84.0032,0.50580062185015,0.2596082788010331,0.07142090797424316,0.9782052636146545,0.43279099464416504,391623004118842,41.63639999999999,-84.00319999999992,21.89,39.25,38.86,3.17,6.6,0.239,28.9,1.35,0.0
391623004119707,41.5753,-84.0333,0.47712725684756324,0.24807642001275734,0.0751798003911972,0.877617597579956,0.41216495633125305,391623004119707,41.57530000000001,-84.03330000000003,29.82,52.41,17.77,2.74,6.8,0.199,30.9,1.47,0.0
391623004291427,41.3959,-83.6626,0.7257755279541016,0.24930249660305537,0.2655957341194153,1.107387900352478,0.7333118915557861,391623004291427,41.39589999999999,-83.66260000000003,15.7,33.09,51.21,1.53,6.6,0.181,30.3,1.66,0.0
391623004303760,41.4827,-83.1786,0.7029536899767423,0.3481158785040671,0.16700953245162964,1.1459506750106812,0.7407119274139404,391623004303760,41.4827,-83.17859999999997,20.35,42.04,37.61,3.49,5.9,0.158,21.6,1.36,0.0
391623004305230,41.4113,-82.7585,0.6307592391967773,0.27284668588491545,0.07021442800760269,1.0108305215835571,0.7175625562667847,391623004305230,41.411300000000026,-82.75850000000003,33.82,54.08,12.11,3.31,7.0,0.23,17.5,1.66,0.0
391623004305517,41.4027,-82.7764,0.5626214981079102,0.3035582205038754,0.1043301373720169,1.0474525690078735,0.5385697484016418,391623004305517,41.40269999999999,-82.77639999999998,25.99,54.07,19.94,3.96,6.0,0.161,19.1,1.47,0.0
391623004307136,41.3517,-82.9822,0.6932379070081209,0.2926054347410346,0.16236887872219086,1.077447772026062,0.7065998315811157,391623004307136,41.3517,-82.98219999999995,31.46,55.74,12.79,1.67,6.4,0.192,18.9,1.35,0.0
391623004307950,41.3157,-82.8891,0.5356420516967774,0.23427268626214445,0.17243364453315735,1.0416302680969238,0.4865712523460388,391623004307950,41.3157,-82.88910000000001,21.78,58.26,19.95,2.49,6.4,0.22,24.5,1.69,0.0
