clay_pct,sand_pct,silt_pct,om_pct,ph,awc,kSat,dbthirdbar,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,T2M_mean,T2M_std,PRECTOTCORR_sum,PRECTOTCORR_mean,ALLSKY_SFC_SW_DWN_mean,RH2M_mean
22.82,58.27,18.91,3.33,6.5,0.166,16.2,1.32,0.6899654865264893,0.29492878913879395,0.18634964525699615,1.0874840021133423,0.7390616536140442,10.975893223819302,10.322062644279322,3289.3,2.2514031485284054,14.06791923340178,74.71562628336756
32.62,47.81,19.57,3.27,5.5,0.247,43.3,1.38,0.6892063617706299,0.2980068325996399,0.2556836009025574,1.1183338165283203,0.6892474889755249,10.975893223819302,10.322062644279322,3289.3,2.2514031485284054,14.06791923340178,74.71562628336756
18.79,35.39,45.82,2.54,6.4,0.193,21.6,1.54,0.5168499946594238,0.23491445183753967,0.12051025032997131,0.9725748896598816,0.4569295048713684,11.256269678302532,9.68126859575305,3236.03,2.2149418206707736,13.725605749486654,76.40015058179328
17.72,38.81,43.46,2.22,6.3,0.229,18.0,1.51,0.4961174428462982,0.2591090798377991,0.13486292958259583,0.9098930954933167,0.4606121778488159,10.545003422313483,10.23289274453813,3434.23,2.350602327173169,14.041601642710472,76.21301163586585
26.78,31.45,41.78,2.82,5.8,0.157,48.0,1.69,0.5864251852035522,0.25975513458251953,0.014167535118758678,0.9264203310012817,0.6628398299217224,10.545003422313483,10.23289274453813,3434.23,2.350602327173169,14.041601642710472,76.21301163586585
31.01,39.25,29.73,1.54,6.7,0.194,14.9,1.5,0.42470237612724304,0.2526847720146179,-0.03127170726656914,0.905364453792572,0.42046403884887695,11.09148528405202,10.120593357887078,3563.84,2.439315537303217,14.041601642710472,75.75122518822724
16.42,56.73,26.85,2.18,6.6,0.181,30.8,1.52,0.4145396053791046,0.3225850760936737,0.07492177188396454,1.008766531944275,0.24732285737991333,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,14.06791923340178,75.41264202600958
19.23,58.68,22.08,3.53,7.1,0.239,33.9,1.67,0.5771785974502563,0.24001002311706543,0.2298079878091812,1.0130683183670044,0.5422128438949585,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,14.06791923340178,75.41264202600958
17.19,35.56,47.24,1.71,6.1,0.189,20.9,1.63,0.638661801815033,0.2729804813861847,0.13423043489456177,1.082175850868225,0.6586320400238037,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,14.06791923340178,75.41264202600958
22.2,38.38,39.42,2.93,5.7,0.23,13.0,1.69,0.7087137699127197,0.26779675483703613,0.21373063325881958,1.1345689296722412,0.6594225168228149,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,14.06791923340178,75.41264202600958
30.5,35.92,33.58,1.59,6.9,0.221,39.2,1.61,0.6541464328765869,0.29815319180488586,0.22606857120990753,1.1721936464309692,0.6129660606384277,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,14.06791923340178,75.41264202600958
17.27,40.16,42.57,1.65,7.0,0.212,23.2,1.33,0.45585688948631287,0.27344778180122375,0.06349539011716843,0.9591348171234131,0.38168853521347046,10.975893223819302,10.322062644279322,3289.3,2.2514031485284054,14.06791923340178,74.71562628336756
21.89,39.25,38.86,3.17,6.6,0.239,28.9,1.35,0.5058006048202515,0.25960826873779297,0.07142090797424316,0.9782052636146545,0.43279099464416504,10.975893223819302,10.322062644279322,3289.3,2.2514031485284054,14.041601642710472,74.71562628336756
29.82,52.41,17.77,2.74,6.8,0.199,30.9,1.47,0.4771272540092468,0.2480764091014862,0.0751798003911972,0.877617597579956,0.41216495633125305,10.975893223819302,10.322062644279322,3289.3,2.2514031485284054,14.041601642710472,74.71562628336756
15.7,33.09,51.21,1.53,6.6,0.181,30.3,1.66,0.7257755398750305,0.249302476644516,0.2655957341194153,1.107387900352478,0.7333118915557861,10.975893223819302,10.322062644279322,3289.3,2.2514031485284054,14.06791923340178,74.71562628336756
20.35,42.04,37.61,3.49,5.9,0.158,21.6,1.36,0.7029536962509155,0.34811586141586304,0.16700953245162964,1.1459506750106812,0.7407119274139404,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,14.06791923340178,75.41264202600958
33.82,54.08,12.11,3.31,7.0,0.23,17.5,1.66,0.6307592391967773,0.27284669876098633,0.07021442800760269,1.0108305215835571,0.7175625562667847,11.256269678302532,9.68126859575305,3236.03,2.2149418206707736,13.725605749486654,76.40015058179328
25.99,54.07,19.94,3.96,6.0,0.161,19.1,1.47,0.562621533870697,0.30355823040008545,0.1043301373720169,1.0474525690078735,0.5385697484016418,11.256269678302532,9.68126859575305,3236.03,2.2149418206707736,13.725605749486654,76.40015058179328
31.46,55.74,12.79,1.67,6.4,0.192,18.9,1.35,0.6932379603385925,0.2926054298877716,0.16236887872219086,1.077447772026062,0.7065998315811157,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,13.725605749486654,75.41264202600958
21.78,58.26,19.95,2.49,6.4,0.22,24.5,1.69,0.5356420278549194,0.23427270352840424,0.17243364453315735,1.0416302680969238,0.4865712523460388,11.217344284736482,10.02935069040428,3287.91,2.250451745379877,13.725605749486654,75.41264202600958
